cluster,gene_id,score,logfoldchange,pval,pval_adj,pct_expressed,gene_name_clean,is_significant,is_labeled
0,g12341_BIRC2_60,4.3133492,1.5673608,1.607997767085652e-05,0.00020969778709912357,0.2222222222222222,BIRC2,True,True
0,g25695_SMURF2_3,4.3124995,1.8885984,1.6141939974177138e-05,0.000210318716570212,0.35555555555555557,SMURF2,True,True
0,g14946_AMOTL1_1,4.2920256,1.0624877,1.7705053763011032e-05,0.00022986773964412373,0.4222222222222222,AMOTL1,True,True
0,g27814_GDPD1_3,4.226319,1.4527595,2.375454761294037e-05,0.00030417567143743826,0.26666666666666666,GDPD1,True,True
0,g23918_FRMD4A,4.213511,0.8432883,2.5143124176692386e-05,0.0003204764471147452,0.3111111111111111,FRMD4A,True,True
0,g13648_GBE1,4.2040143,2.635362,2.6222261853564074e-05,0.00033192220574226444,0.26666666666666666,GBE1,True,True
0,g25372_LRRFIP2,4.198398,0.9926247,2.6880968798676007e-05,0.0003384321240410896,0.8,LRRFIP2,True,True
0,g35612_ARHGEF3,4.198253,0.8661516,2.6898173318861327e-05,0.0003384321240410896,0.4,ARHGEF3,True,True
0,g9183_TLK2_2,4.1679544,3.3016098,3.0734540994762e-05,0.00038275862523468263,0.1111111111111111,TLK2,True,True
0,g33795_GCNT1_3,4.161833,4.049493,3.157035903574326e-05,0.0003918360057120446,0.23333333333333334,GCNT1,True,True
0,g18671_PRSS21_3,4.160947,2.0605793,3.169307059131881e-05,0.00039302625103853733,0.15555555555555556,PRSS21,True,True
0,g10065_PKD2,4.1478505,0.97159785,3.3561154313385054e-05,0.0004144392585725342,0.4444444444444444,PKD2,True,True
0,g41043_CLEC17A_11,4.1190653,2.693659,3.804127035588156e-05,0.00046583871418254963,0.13333333333333333,CLEC17A,True,True
0,g19381_FOXO3_2,4.1170144,0.98231596,3.8381194509725245e-05,0.00046921730535742507,0.12222222222222222,FOXO3,True,True
0,g38956_CDH15,4.101574,0.7002913,4.1034947149729714e-05,0.0004979223967886905,0.5111111111111111,CDH15,True,True
0,g16402_PLK3_2,4.0812273,0.61716676,4.479854629418602e-05,0.0005391273329886525,0.17777777777777778,PLK3,True,True
0,g8888_FHAD1_2,4.078298,1.5759948,4.536659920496819e-05,0.0005450685337265768,0.2777777777777778,FHAD1,True,True
0,g29318_IRF8_6,4.048092,1.0293065,5.163683033392884e-05,0.0006153598853940886,0.12222222222222222,IRF8,True,True
0,g19974_BICC1,4.0330987,1.3191948,5.5046100473107496e-05,0.0006538620265273984,0.3111111111111111,BICC1,True,True
0,g27971_TMBIM6_2,4.0268292,0.996746,5.653401465554786e-05,0.000669700375769651,0.26666666666666666,TMBIM6,True,True
0,g28745_RABL2A,4.024218,0.43527907,5.7164880087540636e-05,0.0006762895983237859,0.4222222222222222,RABL2A,True,True
0,g6373_SQSTM1_1,4.014223,1.087664,5.964187893455357e-05,0.0006999444847259297,0.2111111111111111,SQSTM1,True,True
0,g2697_RAB12,4.012549,0.82893157,6.006661468419453e-05,0.0007038021087457422,0.7555555555555555,RAB12,True,True
0,g44575_FBLN5,4.0032334,2.4137814,6.248262732057585e-05,0.000729196139542198,0.5444444444444444,FBLN5,True,True
0,g2687_ID3_2,4.002484,1.2384583,6.268094357367757e-05,0.00073092861647014,0.25555555555555554,ID3,True,True
0,g3212_PLA2G7_2,3.9951782,0.93713903,6.464561256262102e-05,0.0007526412938386806,0.36666666666666664,PLA2G7,True,True
0,g19932_RHBDL2_3,3.9946308,1.084024,6.479516195565438e-05,0.0007537837174174459,0.12222222222222222,RHBDL2,True,True
0,g8854_CNOT11,3.9669504,1.7321757,7.279810837602275e-05,0.0008366046741813834,0.26666666666666666,CNOT11,True,True
0,g28479_STX7,3.9668539,1.0796689,7.282764116901659e-05,0.0008366046741813834,0.4,STX7,True,True
0,g497_CHRM5_1,3.947182,1.087482,7.907643376274333e-05,0.0008978329714130843,0.17777777777777778,CHRM5,True,True
0,g40888_DLL4_7,3.938687,3.9748747,8.192866474380646e-05,0.0009266283702274036,0.32222222222222224,DLL4,True,True
0,g7810_ATP1A1,3.9367309,0.99009895,8.259916279231245e-05,0.0009327723637979322,0.23333333333333334,ATP1A1,True,True
0,g24020_SLC6A4,3.9300268,4.5144196,8.493637717237549e-05,0.0009547526200864109,0.1111111111111111,SLC6A4,True,True
0,g14605_FGF2,3.9106953,2.1357353,9.20307860055389e-05,0.001025066307955311,0.35555555555555557,FGF2,True,True
0,g20025_MIB2_7,3.9015734,1.1528971,9.556944870875314e-05,0.0010580490779251537,0.2,MIB2,True,True
0,g7774_TAGLN2_1,3.8843277,1.1565015,0.00010261350017800378,0.0011286782841807162,0.18888888888888888,TAGLN2,True,True
0,g18516_RAI14_1,3.883871,1.9536525,0.00010280643658115735,0.0011296377416841114,0.7,RAI14,True,True
0,g23672_DNAJB11_3,3.880783,3.4303408,0.00010412071002324083,0.0011423662930543893,0.7111111111111111,DNAJB11,True,True
0,g15141_EPHA5_3,3.8646243,1.1035169,0.0001112602871955384,0.0012062524332190842,0.16666666666666666,EPHA5,True,True
0,g35202_ITFG1_3,3.8291576,1.1341628,0.00012858261630944897,0.0013697412717034179,0.8,ITFG1,True,True
0,g6725_IRF2,3.8225746,1.1052659,0.0001320655566970172,0.0014037831255002743,0.5444444444444444,IRF2,True,True
0,g14774_DIP2C_2,3.8162975,1.0506712,0.00013546909664018434,0.0014337227570771279,0.14444444444444443,DIP2C,True,True
0,g14138_PDLIM5,3.7988975,1.0427868,0.00014534121123327656,0.0015337735595805384,0.12222222222222222,PDLIM5,True,True
0,g37762_HERC4_1,3.7914596,0.8885832,0.00014976457211887589,0.0015759146433011362,0.13333333333333333,HERC4,True,True
0,g2450_VKORC1L1,3.7644742,1.4828734,0.0001669000040799836,0.0017375143890656249,0.16666666666666666,VKORC1L1,True,True
0,g28693_SRSF3,3.7464638,1.1844654,0.00017934494221342358,0.0018604657911991244,0.18888888888888888,SRSF3,True,True
0,g19045_DUOXA1_2,3.7294312,1.6489012,0.00019191254517918367,0.0019782377547373237,0.32222222222222224,DUOXA1,True,True
0,g14773_DIP2,3.6963625,0.95109624,0.0002187106173945401,0.0022262918262285895,0.14444444444444443,DIP2,True,True
0,g4169_FGFR4_2,3.6942935,1.589002,0.00022049898653305464,0.002240032451999929,0.23333333333333334,FGFR4,True,True
0,g31803_FIS1_2,3.6934743,0.733529,0.00022121089334904841,0.0022445424655204984,0.24444444444444444,FIS1,True,True
0,g25694_SMURF2_2,3.6901855,2.0209398,0.00022409063315284922,0.002268534536542341,0.28888888888888886,SMURF2,True,True
0,g8502_CYR61_2,3.6901762,0.7948427,0.00022409864980988604,0.002268534536542341,0.25555555555555554,CYR61,True,True
0,g18033_DOPEY1,3.658704,0.798239,0.0002534938175238543,0.0025259771429399433,0.15555555555555556,DOPEY1,True,True
0,g27147_INF2,3.653905,1.0879655,0.00025828184928753533,0.0025701937181647613,0.6666666666666666,INF2,True,True
0,g1988_COL6A6_3,3.6482825,1.9319065,0.0002639992548958231,0.00261643074933264,0.35555555555555557,COL6A6,True,True
0,g3734_GPM6B,3.6213613,0.82474536,0.0002930568667292936,0.0028656621431073954,0.14444444444444443,GPM6B,True,True
0,g38255_PGAP2_2,3.618076,1.6601614,0.0002968011064624908,0.0028908336309946686,0.12222222222222222,PGAP2,True,True
0,g18667_DHRS11_2,3.6052186,2.6035194,0.00031189015034128006,0.003008236710720756,0.1111111111111111,DHRS11,True,True
0,g25371_KRR1_1,3.600516,0.8696729,0.00031758617034174615,0.0030585926970232028,0.17777777777777778,KRR1,True,True
